time,value
2025-09-16T09:04:44.585557319Z,"{""lat"":-37.64619119363493,""lon"":144.90691042472633}"
2025-09-16T09:04:45.58632677Z,"{""lat"":-37.64619476601737,""lon"":144.90690868331433}"
2025-09-16T09:04:46.590697192Z,"{""lat"":-37.64620136342165,""lon"":144.90691097012967}"
2025-09-16T09:04:47.588021947Z,"{""lat"":-37.64620137392183,""lon"":144.90691097119313}"
2025-09-16T09:04:48.594966722Z,"{""lat"":-37.64619721606701,""lon"":144.90690744293204}"
2025-09-16T09:04:49.591714997Z,"{""lat"":-37.64619864742598,""lon"":144.90690735172205}"
2025-09-16T09:04:50.596616432Z,"{""lat"":-37.646199028514005,""lon"":144.9069074820533}"
2025-09-16T09:04:51.591709741Z,"{""lat"":-37.64619892768914,""lon"":144.90690831352754}"
2025-09-16T09:04:52.593697215Z,"{""lat"":-37.6461992840044,""lon"":144.90690849875196}"
2025-09-16T09:04:53.593848084Z,"{""lat"":-37.646197869394875,""lon"":144.9069140097624}"
2025-09-16T09:04:54.61064718Z,"{""lat"":-37.64619587519842,""lon"":144.90691550759047}"
2025-09-16T09:04:55.614825497Z,"{""lat"":-37.64619209009703,""lon"":144.90691466990552}"
2025-09-16T09:04:56.607950438Z,"{""lat"":-37.64619061489403,""lon"":144.9069154018706}"
2025-09-16T09:04:57.619617196Z,"{""lat"":-37.64619332324922,""lon"":144.90691458802712}"
2025-09-16T09:04:58.619545481Z,"{""lat"":-37.646193131825946,""lon"":144.90691392631243}"
2025-09-16T09:04:59.631709567Z,"{""lat"":-37.646193185276154,""lon"":144.90691399004473}"
2025-09-16T09:05:00.625609936Z,"{""lat"":-37.64619318870099,""lon"":144.90691397307077}"
2025-09-16T09:05:01.629545803Z,"{""lat"":-37.646194511309254,""lon"":144.9069141878104}"
2025-09-16T09:05:02.626415905Z,"{""lat"":-37.64619565370099,""lon"":144.90691390417314}"
2025-09-16T09:05:03.640452068Z,"{""lat"":-37.646196175969315,""lon"":144.90691351957548}"
2025-09-16T09:05:04.63573Z,"{""lat"":-37.64619642831838,""lon"":144.9069132287818}"
2025-09-16T09:05:05.652927498Z,"{""lat"":-37.646196425308204,""lon"":144.90691292075277}"
2025-09-16T09:05:06.645466359Z,"{""lat"":-37.646195865865344,""lon"":144.90691258628377}"
2025-09-16T09:05:07.664737034Z,"{""lat"":-37.646195865865344,""lon"":144.90691258628377}"
2025-09-16T09:05:08.655678242Z,"{""lat"":-37.64619563119946,""lon"":144.90691248344237}"
2025-09-16T09:05:09.6626003Z,"{""lat"":-37.64619560517937,""lon"":144.90691238385804}"
2025-09-16T09:05:10.665582654Z,"{""lat"":-37.64619576183372,""lon"":144.90691299214012}"
2025-09-16T09:05:11.664644067Z,"{""lat"":-37.64619584636154,""lon"":144.90691279378163}"
2025-09-16T09:05:12.680680623Z,"{""lat"":-37.646195461067705,""lon"":144.90691255726614}"
2025-09-16T09:05:13.681636669Z,"{""lat"":-37.64619591451212,""lon"":144.90691334888368}"
2025-09-16T09:05:14.697715733Z,"{""lat"":-37.646195794123976,""lon"":144.90691364865089}"
2025-09-16T09:05:15.700565721Z,"{""lat"":-37.64619599071274,""lon"":144.90691373942627}"
2025-09-16T09:05:16.699510474Z,"{""lat"":-37.646196167303295,""lon"":144.90691413227492}"
2025-09-16T09:05:17.69955881Z,"{""lat"":-37.646196950507075,""lon"":144.90691469262916}"
2025-09-16T09:05:18.70352787Z,"{""lat"":-37.646197312765985,""lon"":144.90691511546927}"
2025-09-16T09:05:19.706636974Z,"{""lat"":-37.646197377463146,""lon"":144.90691446572202}"
2025-09-16T09:05:20.701867414Z,"{""lat"":-37.64619734958219,""lon"":144.90691471089733}"
2025-09-16T09:05:21.711489961Z,"{""lat"":-37.64619702006391,""lon"":144.90691494710674}"
2025-09-16T09:05:22.705773325Z,"{""lat"":-37.64619688117493,""lon"":144.90691470196745}"
2025-09-16T09:05:23.69662569Z,"{""lat"":-37.64619641039403,""lon"":144.90691565322967}"
2025-09-16T09:05:24.706707768Z,"{""lat"":-37.64619614657434,""lon"":144.90691554979995}"
2025-09-16T09:05:25.707721301Z,"{""lat"":-37.64619556576538,""lon"":144.906916524266}"
2025-09-16T09:05:26.709588046Z,"{""lat"":-37.64619548238683,""lon"":144.906917234171}"
2025-09-16T09:05:27.703920174Z,"{""lat"":-37.64619522719,""lon"":144.90691884350795}"
2025-09-16T09:05:28.704633981Z,"{""lat"":-37.64619475988913,""lon"":144.90691985735083}"
2025-09-16T09:05:29.708927116Z,"{""lat"":-37.6461948510539,""lon"":144.9069199788583}"
2025-09-16T09:05:30.711614834Z,"{""lat"":-37.64619455782428,""lon"":144.90691967120983}"
2025-09-16T09:05:31.703757188Z,"{""lat"":-37.64619458704729,""lon"":144.90691953374045}"
2025-09-16T09:05:32.710664269Z,"{""lat"":-37.64619512928406,""lon"":144.9069194355043}"
2025-09-16T09:05:33.714643127Z,"{""lat"":-37.646195102070955,""lon"":144.9069195956583}"
2025-09-16T09:05:34.713949737Z,"{""lat"":-37.64619497780871,""lon"":144.90691966126317}"
2025-09-16T09:05:35.710849506Z,"{""lat"":-37.64619537035326,""lon"":144.90691958385432}"
2025-09-16T09:05:36.714597825Z,"{""lat"":-37.64619548750494,""lon"":144.90692024647072}"
2025-09-16T09:05:37.767598283Z,"{""lat"":-37.64619548363602,""lon"":144.9069201814896}"
2025-09-16T09:05:38.715926341Z,"{""lat"":-37.64619557913667,""lon"":144.9069208374878}"
2025-09-16T09:05:39.720761404Z,"{""lat"":-37.646195413525994,""lon"":144.9069206467697}"
2025-09-16T09:05:40.719643674Z,"{""lat"":-37.64619541438058,""lon"":144.90692097625202}"
2025-09-16T09:05:41.713868107Z,"{""lat"":-37.64619569012575,""lon"":144.90692105376652}"
2025-09-16T09:05:42.723812022Z,"{""lat"":-37.64619697122553,""lon"":144.90692389959764}"
2025-09-16T09:05:43.714670009Z,"{""lat"":-37.64619697122673,""lon"":144.9069238996008}"
2025-09-16T09:05:44.720612272Z,"{""lat"":-37.646197425856464,""lon"":144.90692510140533}"
2025-09-16T09:05:45.718669235Z,"{""lat"":-37.6461976532222,""lon"":144.906924079588}"
2025-09-16T09:05:46.734828126Z,"{""lat"":-37.64619802845805,""lon"":144.90692447402878}"
2025-09-16T09:05:47.733621985Z,"{""lat"":-37.64619783536813,""lon"":144.9069246734209}"
2025-09-16T09:05:48.735630255Z,"{""lat"":-37.64619829911589,""lon"":144.90692490451346}"
2025-09-16T09:05:49.750865967Z,"{""lat"":-37.6462006423458,""lon"":144.9069260758571}"
2025-09-16T09:05:50.74883156Z,"{""lat"":-37.6462006423458,""lon"":144.9069260758571}"
2025-09-16T09:05:51.748563122Z,"{""lat"":-37.64620238250051,""lon"":144.90692500352566}"
2025-09-16T09:05:52.750064862Z,"{""lat"":-37.64620238250051,""lon"":144.90692500352566}"
2025-09-16T09:05:53.749708844Z,"{""lat"":-37.646204109824694,""lon"":144.9069199239718}"
2025-09-16T09:05:54.753495881Z,"{""lat"":-37.646204109824694,""lon"":144.9069199239718}"
2025-09-16T09:05:55.751766885Z,"{""lat"":-37.64620512019132,""lon"":144.90692013727733}"
2025-09-16T09:05:56.752493309Z,"{""lat"":-37.64620615244144,""lon"":144.90692133239233}"
